cd,estimate,sd,q025,q975,pop
CA-19,0.2170555,0.015098371,0.18789817,0.24787934,741670.0
CA-20,0.21027826,0.015122305,0.18109243,0.24085847,816301.0
CA-21,0.23752989,0.018965865,0.20118113,0.2768429,781030.0
CA-22,0.23284549,0.019646892,0.19553718,0.2736566,801190.0
CA-23,0.21362944,0.015935946,0.18305185,0.24635959,758159.0
CA-24,0.20208238,0.014503808,0.17417483,0.2319068,759754.0
CA-25,0.22506167,0.01831715,0.190361,0.26314646,792547.0
CA-26,0.21198566,0.015301123,0.18261771,0.24325535,752072.0
CA-27,0.22595698,0.016305929,0.1945643,0.2593807,748947.0
CA-28,0.25223517,0.019464666,0.21513496,0.29255375,750473.0
CA-29,0.23273401,0.018073225,0.19804268,0.26969787,724188.0
CA-30,0.20029888,0.01344056,0.17436683,0.22839804,742465.0
CA-31,0.2491454,0.018848043,0.21260777,0.28766876,724902.0
CA-32,0.20671578,0.0140041225,0.17928544,0.23550367,763383.0
CA-33,0.23564707,0.01852661,0.2004615,0.27409232,783085.0
CA-34,0.24821702,0.018955912,0.21177347,0.28703076,757957.0
CA-35,0.24342963,0.018701028,0.20786467,0.28164905,764991.0
CA-36,0.20739473,0.014234384,0.18003748,0.23669448,755979.0
CA-37,0.23964664,0.017957984,0.20530032,0.27656707,745172.0
CA-38,0.25238782,0.019145086,0.21567075,0.29136965,723153.0
CA-39,0.23496437,0.0184481,0.19992588,0.2727727,781393.0
CA-40,0.21733522,0.015137964,0.18802674,0.2485681,744040.0
CA-41,0.21242267,0.0151341455,0.18321347,0.24326973,824261.0
CA-42,0.23437472,0.018403636,0.19922735,0.272252,722832.0
CA-43,0.24836347,0.018941881,0.21200931,0.28748444,719904.0
CA-44,0.2433975,0.018279364,0.20830879,0.28111783,745315.0
CA-45,0.25953218,0.020695582,0.21993035,0.30199835,741955.0
CA-46,0.24592645,0.019124875,0.20913342,0.28466967,763482.0
CA-47,0.2211453,0.016113885,0.19030924,0.2541721,756374.0
CA-48,0.20329598,0.014289582,0.17575024,0.23249795,768427.0
CA-49,0.19169304,0.013277376,0.16610351,0.21909633,748742.0
CA-50,0.20575215,0.014010603,0.17864096,0.23467754,760799.0
CA-51,0.21320514,0.014577104,0.18484376,0.24349743,766663.0
CA-52,0.24453442,0.018378824,0.20923238,0.28198823,756424.0
CO-01,0.20104334,0.016760519,0.17013715,0.23856227,737571.0
CO-02,0.17863338,0.015104862,0.15148291,0.21243045,728480.0
CO-03,0.18615206,0.016005166,0.15721549,0.22245489,742989.0
CO-04,0.18501984,0.015765801,0.15695658,0.22033542,789556.0
CO-05,0.1898298,0.016101737,0.16091166,0.22654568,745429.0
CO-06,0.20477232,0.017012732,0.17379716,0.24285057,730105.0
CO-07,0.18075705,0.015244923,0.1535208,0.21500921,728169.0
CO-08,0.2054553,0.017953869,0.17292589,0.24555673,757121.0
CT-01,0.197756,0.016936691,0.16525792,0.23305583,734982.0
CT-02,0.17393509,0.015263116,0.14435929,0.20601128,731322.0
CT-03,0.19279942,0.016533205,0.16062985,0.22744006,741632.0
CT-04,0.19749607,0.017056948,0.16448003,0.23324381,739349.0
CT-05,0.18915051,0.016384957,0.15741551,0.22371453,727997.0
DC-98,0.21986923,0.03080936,0.16489355,0.29360244,702518.0
DE-00,0.18923244,0.016664404,0.15523604,0.22389627,1051959.0
FL-01,0.17710981,0.013696009,0.15260181,0.20752816,818627.0
FL-02,0.18533213,0.014111198,0.15992919,0.21658187,819069.0
FL-03,0.18296582,0.013816891,0.15809956,0.21339063,845704.0
FL-04,0.19881906,0.015250476,0.17140798,0.23244074,842174.0
FL-05,0.1853847,0.0140212225,0.15998596,0.2160246,852368.0
FL-06,0.17761931,0.013513286,0.15343997,0.20691602,834655.0
FL-07,0.19020565,0.01435239,0.16410594,0.22170994,813166.0
FL-08,0.17680825,0.013391812,0.15275446,0.20621492,831277.0
FL-09,0.21747354,0.017737731,0.18502386,0.25595817,909835.0
FL-10,0.21374786,0.016078947,0.18443319,0.24877144,802579.0
FL-11,0.18965349,0.014176546,0.16394475,0.22101969,893476.0
FL-12,0.17548509,0.013606481,0.15109667,0.20539792,871025.0
FL-13,0.17459628,0.01324085,0.15071243,0.20394151,762922.0
FL-14,0.20119074,0.0151037695,0.17389257,0.23433898,826754.0
FL-15,0.20118134,0.0151870875,0.17367482,0.23461913,835432.0
FL-16,0.18986234,0.014324761,0.16389813,0.2213021,882634.0
FL-17,0.17387658,0.013361958,0.14994782,0.20345297,876680.0
FL-18,0.19491744,0.015157635,0.16756721,0.22793078,884254.0
FL-19,0.17828445,0.013559413,0.15363239,0.20838393,827867.0
FL-20,0.22994602,0.018178929,0.19663343,0.2695037,818464.0
FL-21,0.18681814,0.013978422,0.16177227,0.21756174,858841.0
FL-22,0.19847581,0.014918941,0.17197673,0.23086865,804325.0
FL-23,0.1927641,0.014418706,0.16659689,0.22463869,803072.0
FL-24,0.2285131,0.017929424,0.19572154,0.26742902,830140.0
FL-25,0.21638891,0.017036019,0.185552,0.25361705,807005.0
