cd,estimate,sd,q025,q975,pop
CA-44,0.3127419,0.021058187,0.27502033,0.35643265,745315.0
CA-45,0.33281907,0.022547882,0.29206866,0.3787252,741955.0
CA-46,0.30463862,0.02143574,0.26588345,0.3491019,763482.0
CA-47,0.32875338,0.019762669,0.29256883,0.37002593,756374.0
CA-48,0.30884567,0.019088635,0.27400383,0.34893516,768427.0
CA-49,0.316729,0.018637566,0.2827883,0.35526997,748742.0
CA-50,0.321552,0.0186734,0.28754342,0.35991564,760799.0
CA-51,0.3152102,0.0188177,0.28096893,0.3538598,766663.0
CA-52,0.3108387,0.021112958,0.27291295,0.35467595,756424.0
CO-01,0.28550884,0.022624938,0.23708333,0.32628393,737571.0
CO-02,0.2938041,0.022737402,0.24449474,0.33411992,728480.0
CO-03,0.29021648,0.02283598,0.24071836,0.33072633,742989.0
CO-04,0.2865782,0.02280093,0.23776864,0.32722604,789556.0
CO-05,0.28339204,0.02263613,0.23454791,0.32383397,745429.0
CO-06,0.29099265,0.022963429,0.24174313,0.33241242,730105.0
CO-07,0.29158917,0.022621533,0.2430044,0.33175096,728169.0
CO-08,0.2754872,0.022896133,0.22695006,0.3170637,757121.0
CT-01,0.29248604,0.021166353,0.25023997,0.33456936,734982.0
CT-02,0.2870717,0.020747831,0.24565303,0.32850128,731322.0
CT-03,0.29221827,0.020991512,0.25020376,0.3340602,741632.0
CT-04,0.2937215,0.021344552,0.25071365,0.3354778,739349.0
CT-05,0.288829,0.020926954,0.24681143,0.33045506,727997.0
DC-98,0.35438538,0.072373345,0.25963122,0.54586893,702518.0
DE-00,0.28846243,0.02084964,0.2501583,0.3359479,1051959.0
FL-01,0.2777271,0.016951464,0.24706449,0.31340536,818627.0
FL-02,0.2838532,0.017080985,0.2530924,0.32046923,819069.0
FL-03,0.28622591,0.016954815,0.2555463,0.32236636,845704.0
FL-04,0.28562367,0.017826144,0.25366744,0.3237291,842174.0
FL-05,0.28694618,0.017115321,0.255934,0.3231768,852368.0
FL-06,0.2930183,0.017150419,0.26176867,0.32965064,834655.0
FL-07,0.2871927,0.017108416,0.25620013,0.3239036,813166.0
FL-08,0.29483214,0.017040562,0.2640276,0.33125997,831277.0
FL-09,0.28316244,0.018909484,0.24841857,0.32270625,909835.0
FL-10,0.2827291,0.017629799,0.25078154,0.3211345,802579.0
FL-11,0.2963599,0.017210383,0.26525268,0.33355245,893476.0
FL-12,0.28769186,0.017229326,0.2563591,0.32411644,871025.0
FL-13,0.29413742,0.0169257,0.2638354,0.3308723,762922.0
FL-14,0.28683993,0.017309623,0.25526932,0.32427156,826754.0
FL-15,0.28485557,0.017346408,0.2533654,0.3218334,835432.0
FL-16,0.29103848,0.01721338,0.25988036,0.32829848,882634.0
FL-17,0.30433735,0.017423386,0.27302012,0.34197453,876680.0
FL-18,0.28519395,0.017656304,0.25305027,0.32251245,884254.0
FL-19,0.30609447,0.017355973,0.2750749,0.34383383,827867.0
FL-20,0.29899868,0.019849526,0.26285875,0.34191886,818464.0
FL-21,0.2986657,0.017216226,0.2677373,0.3359301,858841.0
FL-22,0.30269396,0.017673343,0.27083242,0.3414023,804325.0
FL-23,0.29638755,0.017256482,0.26526293,0.33399493,803072.0
FL-24,0.2981062,0.019444324,0.26304948,0.34018877,830140.0
FL-25,0.2911315,0.018636256,0.2569807,0.33051878,807005.0
FL-26,0.29266167,0.02085591,0.25384542,0.3356166,851023.0
FL-27,0.29735097,0.021156194,0.2577257,0.34114665,788663.0
FL-28,0.28839353,0.021061487,0.24900731,0.33201164,791639.0
GA-01,0.27693704,0.017374294,0.24289173,0.31365624,806527.0
GA-02,0.289651,0.019270537,0.25123042,0.3283647,757237.0
GA-03,0.27768812,0.017351516,0.24382396,0.3146839,799779.0
GA-04,0.29130802,0.019450104,0.2532324,0.3304549,759723.0
GA-05,0.2892908,0.018983256,0.25212795,0.32833126,771919.0
GA-06,0.29388976,0.019504478,0.25542346,0.33379257,803622.0
GA-07,0.28407678,0.017850831,0.25020126,0.32182696,815664.0
GA-08,0.27837083,0.01777272,0.24327883,0.31544128,787859.0
GA-09,0.2759573,0.017198497,0.24333654,0.3123826,828867.0
GA-10,0.27608296,0.017246732,0.24239686,0.3127296,835723.0
GA-11,0.2749502,0.017002795,0.24255867,0.3107074,811649.0
GA-12,0.28131273,0.018013097,0.2459881,0.31864274,786389.0
GA-13,0.292739,0.019874439,0.25365454,0.3329972,820455.0
GA-14,0.2677714,0.017035073,0.23512429,0.30408835,795540.0
HI-01,0.32600048,0.0287468,0.26983714,0.38481316,788658.0
HI-02,0.30672294,0.026077393,0.25527236,0.36013663,834691.0
IA-01,0.24426694,0.019226754,0.20769677,0.2840267,804653.0
IA-02,0.24549937,0.019341687,0.208707,0.2854101,797275.0
IA-03,0.24367893,0.019411996,0.20708716,0.28382963,837847.0
IA-04,0.24451798,0.019357089,0.20773,0.28392667,801500.0
ID-01,0.28502786,0.022735754,0.23735763,0.32921037,1033764.0
ID-02,0.28487065,0.022605488,0.23743314,0.3284212,967967.0
IL-01,0.2619656,0.02063925,0.22061251,0.30238312,735217.0
IL-02,0.2618736,0.020909075,0.22026876,0.30286977,732314.0
IL-03,0.24063306,0.018982764,0.20309941,0.27821523,732739.0
IL-04,0.23941955,0.020484352,0.19950734,0.2805612,712060.0
IL-05,0.24704736,0.018345105,0.20953861,0.2816941,773670.0
IL-06,0.24839927,0.018266894,0.21175505,0.28348145,764437.0
IL-07,0.25621465,0.020214206,0.21555124,0.2956907,761127.0
IL-08,0.24577275,0.018701518,0.20820855,0.28192854,752540.0
IL-09,0.2570698,0.018964514,0.21850903,0.29328412,740405.0
IL-10,0.24879494,0.018576998,0.21161833,0.2845113,749734.0
IL-11,0.24733818,0.018386351,0.21017781,0.28268367,766547.0
IL-12,0.23970605,0.017822703,0.20328006,0.27415088,745851.0
IL-13,0.24719645,0.01823203,0.2097186,0.28169832,741856.0
IL-14,0.24088687,0.018187275,0.2045206,0.27634963,766543.0
IL-15,0.24084456,0.017791936,0.20456035,0.2750754,739138.0
IL-16,0.2397554,0.017831571,0.20390987,0.27406812,752718.0
IL-17,0.24432145,0.018050201,0.2079431,0.27909335,743467.0
IN-01,0.24836457,0.018980583,0.20984906,0.2857247,760476.0
IN-02,0.23984395,0.018587109,0.20213276,0.2768578,751805.0
IN-03,0.23793758,0.018522182,0.20068848,0.2746324,774663.0
IN-04,0.23869467,0.018349363,0.20166788,0.27513003,788977.0
IN-05,0.24342072,0.01841765,0.2063561,0.2799928,791240.0
IN-06,0.23797345,0.018428812,0.20115978,0.2747696,777102.0
IN-07,0.24914384,0.01965589,0.21006441,0.28778782,757175.0
IN-08,0.23795308,0.018357342,0.20110494,0.27438262,758354.0
IN-09,0.23747194,0.018205157,0.20072146,0.27378654,764250.0
KS-01,0.24452089,0.019762509,0.20740356,0.2857858,731411.0
KS-02,0.2455245,0.019953588,0.20811108,0.28716874,739200.0
KS-03,0.25097153,0.020061666,0.2132703,0.29244816,754035.0
KS-04,0.24570012,0.01992232,0.20835818,0.28704023,745879.0
KY-01,0.25695485,0.019281626,0.21430951,0.29238188,768405.0
KY-02,0.25386384,0.01905469,0.21146162,0.288659,775347.0
KY-03,0.26635152,0.019360058,0.22281747,0.3015062,763945.0
KY-04,0.25191697,0.018974327,0.2104636,0.28660372,776110.0
KY-05,0.25073275,0.019480847,0.20830391,0.28708088,772551.0
KY-06,0.2579771,0.018903645,0.21542682,0.2922367,777325.0
LA-01,0.26872292,0.019320868,0.22506803,0.3053523,798550.0
LA-02,0.28152284,0.021343088,0.2347313,0.32227093,736229.0
LA-03,0.26606312,0.01968493,0.22190553,0.30336788,777815.0
LA-04,0.26728246,0.019559745,0.22275466,0.3039925,767411.0
LA-05,0.26970837,0.01975959,0.22549637,0.3071573,763961.0
LA-06,0.28321278,0.02191374,0.23557237,0.3252381,753613.0
MA-01,0.2907173,0.020849723,0.251256,0.33519927,779946.0
MA-02,0.2939778,0.020736799,0.25454065,0.33846492,801932.0
